PCName,PCType,Sex,Category,Age,Party
Adilabad ,ST,M,ST,49,TRS
Peddapalle ,SC,M,SC,31,TRS
Karimnagar ,GEN,M,GEN,54,TRS
Nizamabad,GEN,F,GEN,36,TRS
Zahirabad,GEN,M,GEN,58,TRS
Medak,GEN,M,GEN,60,TRS
Malkajgiri,GEN,M,GEN,56,TDP
Secundrabad,GEN,M,GEN,66,BJP
Hyderabad,GEN,M,GEN,43,AIMIM
CHELVELLA,GEN,M,GEN,54,TRS
Mahbubnagar,GEN,M,GEN,60,TRS
Nagarkurnool,SC,M,SC,71,INC
Nalgonda,GEN,M,GEN,60,INC
Bhongir ,GEN,M,GEN,55,TRS
Warangal,SC,M,SC,63,TRS
Mahabubabad  ,ST,M,ST,56,TRS
Khammam ,GEN,M,GEN,48,YSRCP
Aruku ,ST,F,ST,43,YSRCP
Srikakulam,GEN,M,GEN,27,TDP
Vizianagaram,GEN,M,GEN,62,TDP
Visakhapatnam,GEN,M,GEN,60,BJP
Anakapalli,GEN,M,GEN,47,TDP
Kakinada,GEN,M,GEN,53,TDP
Amalapuram ,SC,M,SC,58,TDP
Rajahmundry,GEN,M,GEN,73,TDP
Narsapuram,GEN,M,GEN,69,BJP
Eluru ,GEN,M,GEN,54,TDP
Machilipatnam ,GEN,M,GEN,64,TDP
Vijayawada,GEN,M,GEN,48,TDP
Guntur,GEN,M,GEN,48,TDP
Narasaraopet,GEN,M,GEN,70,TDP
Bapatla ,SC,M,SC,60,TDP
Ongole ,GEN,M,GEN,53,YSRCP
Nandyal,GEN,M,GEN,64,YSRCP
Kurnool,GEN,F,GEN,42,YSRCP
Anantapur,GEN,M,GEN,70,TDP
Hindupur,GEN,M,GEN,57,TDP
Kadapa,GEN,M,GEN,29,YSRCP
Nellore,GEN,M,GEN,69,YSRCP
Tirupati ,SC,M,SC,61,YSRCP
Rajampet,GEN,M,GEN,36,YSRCP
Chittoor ,SC,M,SC,62,TDP
ARUNACHAL WEST,GEN,M,ST,42,BJP
ARUNACHAL EAST,GEN,M,ST,55,INC
Karimganj ,SC,M,SC,59,AIUDF
Silchar,GEN,F,GEN,41,INC
Autonomous District,ST,M,ST,74,INC
Dhubri,GEN,M,GEN,59,AIUDF
Kokrajhar,ST,M,ST,45,IND
Barpeta,GEN,M,GEN,67,AIUDF
Gauhati,GEN,F,GEN,75,BJP
Mangaldoi,GEN,M,GEN,59,BJP
Tezpur,GEN,M,GEN,58,BJP
Nowgong,GEN,M,GEN,63,BJP
Kaliabor,GEN,M,GEN,31,INC
Jorhat,GEN,M,GEN,38,BJP
Dibrugarh,GEN,M,GEN,43,BJP
Lakhimpur,GEN,M,ST,52,BJP
Valmiki Nagar,GEN,M,GEN,39,BJP
Paschim Champaran,GEN,M,GEN,49,BJP
Purvi Champaran,GEN,M,GEN,64,BJP
Sheohar,GEN,F,GEN,65,BJP
Sitamarhi,GEN,M,GEN,50,BLSP
Madhubani,GEN,M,GEN,77,BJP
Jhanjharpur,GEN,M,GEN,60,BJP
Supaul,GEN,F,GEN,41,INC
Araria,GEN,M,GEN,72,RJD
Kishanganj,GEN,M,GEN,67,INC
Katihar,GEN,M,GEN,63,NCP
Purnia,GEN,M,GEN,35,JD(U)
Madhepura,GEN,M,GEN,46,RJD
Darbhanga,GEN,M,GEN,55,BJP
Muzaffarpur,GEN,M,GEN,45,BJP
Vaishali,GEN,M,GEN,51,LJP
Gopalganj (SC),SC,M,SC,42,BJP
Siwan,GEN,M,GEN,48,BJP
Maharajganj,GEN,M,GEN,50,BJP
Saran,GEN,M,GEN,53,BJP
Hajipur (SC),SC,M,SC,67,LJP
Ujiarpur,GEN,M,GEN,48,BJP
