PCName,PCType,Sex,Category,Age,Party
Jammu,GEN,M,GEN,56,INC
Chikkodi,GEN,M,GEN,44,BJP
Belgaum,GEN,M,GEN,55,BJP
Bagalkot,GEN,M,GEN,56,BJP
Bijapur,SC,M,SC,57,BJP
Gulbarga,SC,M,SC,67,INC
Raichur,ST,M,ST,51,BJP
Bidar,GEN,M,GEN,73,INC
Koppal,GEN,M,GEN,56,BJP
Bellary,ST,F,ST,35,BJP
Haveri,GEN,M,GEN,42,BJP
Dharwad,GEN,M,GEN,46,BJP
Uttara Kannada,GEN,M,GEN,40,BJP
Davanagere,GEN,M,GEN,56,BJP
Shimoga,GEN,M,GEN,36,BJP
Udupi Chikmagalur,GEN,M,GEN,56,BJP
Hassan,GEN,M,GEN,76,JD(S)
Dakshina Kannada,GEN,M,GEN,42,BJP
Chitradurga,SC,M,SC,41,BJP
Tumkur,GEN,M,GEN,67,BJP
Mandya,GEN,M,GEN,49,JD(S)
Mysore,GEN,M,GEN,59,INC
Chamarajanagar,SC,M,SC,48,INC
Bangalore Rural,GEN,M,GEN,49,JD(S)
Bangalore North,GEN,M,GEN,72,BJP
Bangalore central,GEN,M,GEN,45,BJP
Bangalore South,GEN,M,GEN,49,BJP
Chikkballapur,GEN,M,GEN,69,INC
Kolar,SC,M,SC,61,INC
Kasaragod,GEN,M,GEN,64,CPM
Kannur,GEN,M,GEN,60,INC
Vadakara,GEN,M,GEN,64,INC
Wayanad,GEN,M,GEN,57,INC
Kozhikode,GEN,M,GEN,57,INC
Malappuram,GEN,M,GEN,70,MUL
Ponnani,GEN,M,GEN,62,MUL
Palakkad,GEN,M,GEN,34,CPM
Alathur,SC,M,SC,34,CPM
Thrissur,GEN,M,GEN,62,INC
Chalakudy,GEN,M,GEN,59,INC
Ernakulam,GEN,M,GEN,61,INC
Idukki,GEN,M,GEN,59,INC
Kottayam,GEN,M,GEN,44,KEC(M)
Alappuzha,GEN,M,GEN,46,INC
Mavelikkara,SC,M,SC,46,INC
Pathanamthitta,GEN,M,GEN,52,INC
Kollam,GEN,M,GEN,66,INC
Attingal,GEN,M,GEN,46,CPM
Thiruvananthapuram,GEN,M,GEN,53,INC
MORENA,GEN,M,GEN,49,BJP
BHIND,SC,M,SC,39,BJP
GWALIOR,GEN,F,GEN,54,BJP
GUNA,GEN,M,GEN,38,INC
SAGAR,GEN,M,GEN,46,BJP
TIKAMGARH,SC,M,SC,55,BJP
DAMOH,GEN,M,GEN,68,BJP
KHAJURAHO,GEN,M,GEN,50,BJP
SATNA,GEN,M,GEN,46,BJP
REWA,GEN,M,GEN,36,BSP
SIDHI,GEN,M,GEN,60,BJP
SHAHDOL,ST,F,ST,52,INC
JABALPUR,GEN,M,GEN,48,BJP
MANDLA,ST,M,ST,59,INC
BALAGHAT,GEN,M,GEN,60,BJP
CHHINDWARA,GEN,M,GEN,62,INC
HOSHANGABAD,GEN,M,GEN,44,INC
VIDISHA,GEN,F,GEN,57,BJP
BHOPAL,GEN,M,GEN,79,BJP
RAJGARH,GEN,M,GEN,58,INC
DEWAS,SC,M,SC,57,INC
UJJAIN,SC,M,SC,41,INC
MANDSOUR,GEN,F,GEN,36,INC
RATLAM,ST,M,ST,59,INC
DHAR,ST,M,ST,45,INC
INDORE,GEN,F,GEN,65,BJP
KHARGONE,ST,M,ST,55,BJP
KHANDWA,GEN,M,GEN,36,INC
BETUL,ST,F,ST,43,BJP
Nandurbar,ST,M,ST,75,INC
Dhule,GEN,M,GEN,60,BJP
Jalgaon,GEN,M,GEN,47,BJP
Raver,GEN,M,GEN,55,BJP
Buldhana,GEN,M,GEN,49,SHS
Akola,GEN,M,GEN,50,BJP
Amravati,SC,M,SC,61,SHS
Wardha,GEN,M,GEN,72,INC
Ramtek,SC,M,SC,49,INC
Nagpur,GEN,M,GEN,60,INC
Bhandara - gondiya,GEN,M,GEN,52,NCP
Gadchiroli-Chimur,ST,M,ST,59,INC
Chandrapur,GEN,M,GEN,54,BJP
Yavatmal-Washim,GEN,F,GEN,36,SHS
Hingoli,GEN,M,GEN,46,SHS
Nanded,GEN,M,GEN,65,INC
Parbhani,GEN,M,GEN,64,SHS
